Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao
COUNTING,8000000,800000,318
COUNTING,8000000,800000,320
COUNTING,8000000,800000,312
COUNTING,8000000,800000,321
COUNTING,8000000,800000,322
COUNTING,8000000,800000,323
COUNTING,8000000,800000,327
COUNTING,8000000,800000,318
COUNTING,8000000,800000,309
COUNTING,8000000,800000,326
COUNTING,8000000,800000,315
COUNTING,8000000,800000,319
COUNTING,8000000,800000,328
COUNTING,8000000,800000,319
COUNTING,8000000,800000,310
COUNTING,8000000,800000,312
COUNTING,8000000,800000,318
COUNTING,8000000,800000,313
COUNTING,8000000,800000,312
COUNTING,8000000,800000,310
COUNTING,8000000,800000,309
COUNTING,8000000,800000,309
COUNTING,8000000,800000,301
COUNTING,8000000,800000,318
COUNTING,8000000,800000,305
COUNTING,8000000,800000,312
COUNTING,8000000,800000,343
COUNTING,8000000,800000,331
COUNTING,8000000,800000,315
COUNTING,8000000,800000,325
