Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao
MERGE,8000000,800000,1121
MERGE,8000000,800000,1233
MERGE,8000000,800000,1215
MERGE,8000000,800000,1130
MERGE,8000000,800000,1205
MERGE,8000000,800000,1209
MERGE,8000000,800000,1216
MERGE,8000000,800000,1217
MERGE,8000000,800000,1202
MERGE,8000000,800000,1218
MERGE,8000000,800000,1100
MERGE,8000000,800000,1208
MERGE,8000000,800000,1198
MERGE,8000000,800000,1221
MERGE,8000000,800000,1247
MERGE,8000000,800000,1193
MERGE,8000000,800000,1207
MERGE,8000000,800000,1099
MERGE,8000000,800000,1178
MERGE,8000000,800000,1126
MERGE,8000000,800000,1202
MERGE,8000000,800000,1209
MERGE,8000000,800000,1224
MERGE,8000000,800000,1125
MERGE,8000000,800000,1102
MERGE,8000000,800000,1118
MERGE,8000000,800000,1207
MERGE,8000000,800000,1112
MERGE,8000000,800000,1183
MERGE,8000000,800000,1218
