Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao
QUICK,8000000,800000,769
QUICK,8000000,800000,771
QUICK,8000000,800000,760
QUICK,8000000,800000,754
QUICK,8000000,800000,769
QUICK,8000000,800000,773
QUICK,8000000,800000,757
QUICK,8000000,800000,774
QUICK,8000000,800000,769
QUICK,8000000,800000,772
QUICK,8000000,800000,776
QUICK,8000000,800000,755
QUICK,8000000,800000,769
QUICK,8000000,800000,783
QUICK,8000000,800000,812
QUICK,8000000,800000,798
QUICK,8000000,800000,788
QUICK,8000000,800000,803
QUICK,8000000,800000,787
QUICK,8000000,800000,787
QUICK,8000000,800000,784
QUICK,8000000,800000,760
QUICK,8000000,800000,767
QUICK,8000000,800000,784
QUICK,8000000,800000,765
QUICK,8000000,800000,743
QUICK,8000000,800000,769
QUICK,8000000,800000,751
QUICK,8000000,800000,761
QUICK,8000000,800000,753
